Rxnorm	description
153341	hydromorphone hydrochloride 2.6 MG Oral Capsule [Palladone]
153659	12 HR morphine sulfate 10 MG Extended Release Oral Capsule [Zomorph]
153660	12 HR morphine sulfate 30 MG Extended Release Oral Capsule [Zomorph]
153661	12 HR morphine sulfate 60 MG Extended Release Oral Capsule [Zomorph]
153662	12 HR morphine sulfate 100 MG Extended Release Oral Capsule [Zomorph]
153663	12 HR morphine sulfate 200 MG Extended Release Oral Capsule [Zomorph]
153664	Zomorph
153973	Levorphan tartrate
154985	nalbuphine HCl
159821	oxycodone terephthalate
187503	Tylenol with Codeine Pill
197113	Physeptone
197117	Narcan
197481	chlorpheniramine maleate 6 MG / guaiFENesin 200 MG / phenylpropanolamine HCl 75 MG Extended Release Oral Tablet
197639	Diprophylline 200 mg and guaifenesin 200 mg oral tablet
197696	72 HR fentanyl 0.075 MG/HR Transdermal System
197741	GUAIFENESIN 200 mg ORAL TABLET
197873	levorphanol tartrate 2 MG Oral Tablet
198097	"Altex Liquid, 100 mg-5 mg-20 mg/5 mL oral liquid"
198098	"Ami-Tex, 200 mg-5 mg-45 mg oral capsule"
198402	fentanyl 1.5 MG/ML Injectable Solution
198403	fentanyl 2.5 MG/ML Injectable Solution
198689	Guaifenesin 200 mg oral capsule
199226	dexbrompheniramine maleate 0.2 MG/ML / guaifenesin 40 MG/ML / pseudoephedrine hydrochloride 6 MG/ML Oral Solution
199400	codeine 50 MG/ML Injectable Solution
199789	pentazocine 50 MG Oral Tablet
202370	Dolophine
202443	tramadol hydrochloride 50 MG Oral Capsule [Tramake]
202444	tramadol hydrochloride 50 MG Oral Capsule [Zamadol]
203170	Butorphanol Tartrate
203177	hydromorphone HCl
203192	N-allylnoroxymorphone hydrochloride
203196	Pentazocine Lactate
203204	bupropion HCl
203240	Kadian
203355	Duramorph
203356	Roxanol
203358	Infumorph
203840	Buprenex
203841	buprenorphine (as hydrochloride)
205533	1 ML buprenorphine 0.3 MG/ML Injection [Buprenex]
205553	guaifenesin 300 MG Extended Release Oral Capsule [Humibid Pediatric]
205565	Breonesin 200 MG Oral Tablet
205566	GG 200 NR 200 MG Oral Tablet
205567	Glytuss 200 MG Oral Tablet
205568	guaifenesin 200 MG Oral Tablet [Iodrol NR]
205570	guaifenesin 200 MG Oral Tablet [Organidin NR]
205674	droperidol 2.5 MG/ML / fentanyl 0.05 MG/ML Injectable Solution [Innovar]
206429	L-Dromoran 2 MG Oral Tablet
206431	L-Dromoran 2 MG/ML Injectable Solution
206654	guaifenesin 20 MG/ML / hydrocodone bitartrate 1 MG/ML Oral Solution [Hycoclar Tus
206655	guaifenesin 20 MG/ML / hydrocodone bitartrate 1 MG/ML Oral Solution [Hycoclear]
207017	naloxone 0.5 MG / pentazocine 50 MG Oral Tablet [Talwin NX]
207260	M-Oxy 5 MG Oral Tablet
207611	codeine phosphate 2 MG/ML / guaifenesin 20 MG/ML / pseudoephedrine hydrochloride
208155	guaifenesin 20 MG/ML / hydrocodone bitartrate 0.5 MG/ML / pseudoephedrine hydroch
209126	D-G (dyphylline 300 MG / guaifenesin 300 MG) per 15 ML Oral Solution
209128	Dilex-G (dyphylline 300 MG / guaifenesin 300 MG) per 15 ML Oral Solution
209129	Dilor-G (dyphylline 300 MG / guaifenesin 300 MG) per 15 ML Oral Solution
209130	Dyline GG (dyphylline 300 MG / guaifenesin 300 MG) per 15 ML Oral Solution
209132	Difil G 200mg-200mg Tablet
209133	Dilex-G (dyphylline 200 MG / guaifenesin 200 MG) Oral Tablet
209134	Dilor-G 200mg-200mg Tablet
209135	Dyflex G 200mg-200mg Tablet
209136	Dyline GG 200mg-200mg Tablet
209137	"Dyphyllin-GG, 200 mg-200 mg oral tablet"
209138	dyphylline 200 MG / guaifenesin 200 MG Oral Tablet [LGG brand of Dyphylline/Guaifenesin]
209139	dyphylline 200 MG / guaifenesin 200 MG Oral Tablet [Lufyllin-GG]
210927	acetaminophen 500 MG / oxycodone hydrochloride 5 MG Oral Capsule [Roxilox]
212562	Guaifenesin 200 MG/5 ML Oral Liquid [NALDECON SENIOR EX]
213130	Altorant 100mg/5ml Solution
213131	Anti-Tuss 100 MG per 5 ML Oral Solution
213138	Extussive 20 MG/ML Oral Solution
213139	Ganidin NR 100mg/5ml Solution
213141	Guaiatussin 100 MG per 5 ML Oral Solution
213143	Guaifenesin 100 MG/5 ML Oral Solution [GUIATUSS]
213144	Guaifenesin 100 MG/5 ML Oral Liquid [HALOTUSSIN]
213145	Guaifenesin 100 MG/5 ML Oral Liquid [IOFEN-NF]
213147	Guaifenesin 100 MG/5 ML Oral Syrup [LO-TUSSIN]
213148	guaifenesin 20 MG/ML Oral Solution [Mallotuss]
213149	Guaifenesin 100 MG/5 ML Oral Liquid [MASTUSSIN QUAIFENESIN]
213150	Guaifenesin 100 MG/5 ML Oral Syrup [MYTUSSIN]
213151	Guaifenesin 100 MG/5 ML Oral Liquid [ORGANIDIN NR]
213152	Guaifenesin 100 MG/5 ML Oral Syrup [PHANASIN DIABETIC CHOICE]
213155	GUAIFENESIN 100 mg in 5 mL ORAL SYRUP [ROBAFEN COUGH FORMULA]
213156	Guaifenesin 100 MG/5 ML Oral Syrup [ROBICHEM EXPECTORANT]
213158	GUAIFENESIN 100 mg in 5 mL ORAL LIQUID [Scot-Tussin Expectorant SF Cough]
213160	Guaifenesin 100 mg in 5 mL ORAL LIQUID [Siltussin SA]
213161	guaifenesin 20 MG/ML Oral Solution [Sorbutuss]
213162	Guaifenesin 100 MG/5 ML Oral Syrup [T-TUSSIN]
213163	Guaifenesin 100 MG/5 ML Oral Syrup [TUSSCIDIN]
213329	GG-Cen 200 MG Oral Capsule
213330	guaifenesin 200 MG Oral Capsule [Hytuss 2X]
213970	B & O Supprettes 15-A Rectal Suppository
213972	B & O Supprettes 16-A Rectal Suppository
214160	aspirin / butalbital / caffeine / codeine
214182	acetaminophen / hydrocodone
214183	acetaminophen / oxycodone
214185	acetaminophen / pentazocine
214216	aminophylline / guaifenesin
214253	aspirin / hydrocodone
214256	aspirin / oxycodone
214257	aspirin / pentazocine
214323	Bromazine- and codeine-containing product
214327	brompheniramine / codeine / phenylpropanolamine
214392	Chlorphenamine- and hydrocodone-containing product
214405	chlorpheniramine / ephedrine / guaifenesin
214406	chlorpheniramine / guaifenesin / phenylephrine
214407	chlorpheniramine / guaifenesin / pseudoephedrine
214409	chlorpheniramine / hydrocodone / phenylephrine
214442	codeine / guaifenesin
214443	codeine / iodinated glycerol
214444	codeine / promethazine
214445	codeine / pseudoephedrine
214447	codeine / guaifenesin / phenylpropanolamine
214449	codeine / phenylephrine / promethazine
214450	codeine / phenylephrine / pyrilamine
214451	codeine / pseudoephedrine / triprolidine
214488	dextromethorphan / guaifenesin
214494	dextromethorphan / guaifenesin / phenylephrine
214495	dextromethorphan / guaifenesin / pseudoephedrine
214528	Diprophylline- and guaifenesin-containing product
214538	ephedrine / guaifenesin
214540	ephedrine / guaifenesin / theophylline
214594	guaifenesin / hydrocodone
214596	guaifenesin / oxtriphylline
214597	guaifenesin / phenylephrine
214598	guaifenesin / phenylpropanolamine
214599	guaifenesin / pseudoephedrine
214600	guaifenesin / theophylline
214603	guaifenesin / hydrocodone / phenylephrine
214604	guaifenesin / hydrocodone / pseudoephedrine
214614	homatropine / hydrocodone
214627	hydrocodone / ibuprofen
214628	hydrocodone / phenylephrine
214629	hydrocodone / phenylpropanolamine
214631	hydrocodone / pseudoephedrine
214633	hydrocodone / phenylephrine / pyrilamine
214699	meperidine / promethazine
214721	naloxone / pentazocine
214807	Product containing pseudoephedrine and triprolidine (medicinal product)
214906	A-G Tussin
215006	Actifed with Codeine
215008	Actiq
215118	Allay
215137	Allerfrin with Codeine
215200	Ambenyl
215251	Amtussin
215292	Anexsia
215451	aspirin / oxycodone hydrochloride / oxycodone terephthalate
215476	Atuss EX
215477	Atuss G
215478	Atuss HD
215479	Atuss MS
215498	Azdone
215554	Bancap HC
215597	Belladonna alkaloid- and opium-containing product
215757	Bron-Tuss
215758	Bronchial
215768	Brontex
215961	Ceta Plus
215989	Cheracol with Codeine
215992	Cheratussin DAC
216104	Co-Gesic
216105	Co-Histine DH
216108	Co-Tuss V Expectorant
216109	Co-Tussin
216113	Codafed
216122	Codehist DH
216129	Codiclear DH
216131	Codimal A
216136	Codotuss
216260	Cotuss V
216297	Cycofed
216298	Cycofed Expectorant
216401	Decohistine DH
216418	Decotuss-HD
216566	Diabetic Tus with Codeine
216597	Dicomal-PH
216605	Dihistine
216606	Dihistine DH
216706	Dolacet
216707	Dolagesic
216719	Donatussin DC
216785	Duraganidin NR
216802	Duratuss G
216803	Duratuss HD
216903	Endocet
216923	Entuss
216924	Entuss Expectorant
216925	Entuss D
216927	Entuss-D Liquid
217089	Fentuss Expectorant
217126	Fioricet with Codeine
217127	Fiorinal with Codeine
217131	Fiortal with Codeine
217282	Genac
217399	Gua HC
217403	Guai-Co
217406	Guaiatussin
217408	Guaiatussin DAC
217416	Guaifen AC
217417	Guaifen DAC
217420	Guaifenesin LA
217428	Guaifenex G
217429	Guaifenex LA
217453	Guiatuss AC
217456	Guiatuss DAC
217486	Halotussin
217487	Halotussin AC
217488	Halotussin DAC
217525	Hexatussin
217553	Histinex D
217555	Histinex HC
217556	Histinex PV
217574	Hy-Phen
217578	Hyco-pap
217579	Hycoclar Tuss
217580	Hycoclear
217583	Hycomed
217590	Hycosin Expectorant
217591	Hycotuss Expectorant
217611	Hydrocet
217613	Hydrocod-GF
217614	Hydrocodone CP
217615	Hydrocodone HD
217631	Hydrogesic
217632	Hydromide
217633	Hydropane
217646	Hydrotropine
217647	Hydrotuss
217648	Hydrotuss HD
217668	Hyphed
217679	Hytussin
217680	Hytussin Expectorant
217862	KG-Fed
217863	KG-Fed Expectorant
217866	KG-Tuss HD
217867	KG-Tussin
217934	Kwelcof
217939	LGG
218125	M-Clear
218129	M-Oxy
218221	Margesic #3
218222	Margesic-H
218274	Medcodin
218276	Medent C
218291	Medipain 5
218325	Meprozine
218337	methadone HCl
218580	Nalex Expectorant
218583	Nalex DH
218623	Nasatuss
218772	Norco
218785	Notuss
218787	Novadyne DH
218788	Novadyne Expectorant
218806	Nucodine
218807	Nucodine Expectorant
218809	Nucofed
218880	Oncet
218986	Oxycontin
218987	Oxyfast
219013	P-V TUSSIN
219061	Panacet
219067	Pancof HC
219068	Pancof XP
219088	Panlor
219160	Percolone
219198	Phenaphen with Codeine
219291	Poly-Histine CS
219293	Poly-Tussin
219294	Poly Tussin XP
219313	Polygesic
219437	Prolex DH
219461	Propatuss Expectorant
219542	Q-Tuss with Hydrocodone
219546	Q-V Tussin
219576	RMS
219632	Rescudose
219723	Rolatuss
219724	Rolatuss with Hydrocodone
219727	Romilar AC
219739	Roxicet
219740	Roxicodone
219741	Roxilox
219742	Roxiprin
219980	Soma Compound with Codeine
219991	Spantuss HD
220014	Stagesic
220024	Statuss
220025	Statuss Green
220143	Synalgos-DC
220150	T-Gesic
220429	Triafed & Codeine
220520	Tussadur-HD
220531	Tussend
220532	Tussend Expectorant
220542	Tussigon
220586	Tylenol with Codeine
220606	Ultram
220733	Vanacet
220771	Vendone
220776	Ventuss
220798	Vi Q Tuss
220824	Vicodin Tuss
220826	Vicoprofen
220827	Vicotuss
221107	Hydrocodone Polistirex
221134	Laudanum
224913	Dilaudid
224941	Guiatuss
226003	Martindale Methadone DTF
226427	tramadol hydrochloride 50 MG/ML Injectable Solution [Zamadol]
235412	Codeine Polistirex
235751	morphine HCl
235774	morphine tartrate
236131	codeine anhyd
236236	codeine camsyl
236931	hydrocodone HCl
237182	ephedrine / guaifenesin / theophylline Oral Tablet
237183	dyphylline / ephedrine / guaifenesin / phenobarbital Oral Tablet
237248	Guaifenesin 300 mg oral capsule
238118	acetaminophen / aspirin / caffeine / codeine / salicylamide Oral Tablet
238129	1 ML buprenorphine 0.3 MG/ML Injection
238133	pentazocine 30 MG/ML Injectable Solution
241907	brompheniramine maleate 1 MG/ML / guaifenesin 40 MG/ML / phenylephrine HCl 2 MG/ML Oral Solution
243220	dexchlorphen/pseudoephed su/gg 2 mg-20 mg-100 mg/5 mL ORAL SYRUP
243244	guaifenesin 200 MG / noscapine 30 MG Oral Tablet
243730	acetaminophen 100 MG/ML / oxycodone 1 MG/ML Oral Solution
243734	acetaminophen 325 MG / codeine 45 MG Oral Capsule
243774	droPERidol 2.5 MG/ML / fentaNYL (as fentaNYL citrate) 0.05 MG/ML Injectable Solut
245134	72 HR fentanyl 0.025 MG/HR Transdermal System
245135	72 HR fentanyl 0.05 MG/HR Transdermal System
245136	72 HR fentanyl 0.1 MG/HR Transdermal System
245322	guaifenesin 100 MG / theophylline 100 MG per 5 ML Oral Solution
245395	codeine 10 MG/ML Oral Solution
245405	ASA 650 MG / Codeine 30 MG Oral Tablet
246474	buprenorphine (as buprenorphine hydrochloride) 0.2 MG Sublingual Tablet
247372	ASA 325 MG / Codeine 8 MG Oral Tablet
247508	"Dayquil Sinus Pressure and Congestion, 200 mg-25 mg oral tablet"
248440	heroin 100 MG/ML Injectable Solution
248477	belladonna alkaloids 15 MG / opium 65 MG Rectal Suppository
248505	heroin 30 MG/ML Injectable Solution
248830	codeine 1 MG/ML / guaifenesin 6 MG/ML Oral Solution
249525	acetaminophen 500 MG / codeine 20 MG Oral Tablet
249626	ASA 500 MG / Codeine 8 MG Oral Tablet
249713	guaifenesin 45 MG/ML / phenylephrine HCl 2 MG/ML Oral Solution
250036	acetaminophen 450 MG / caffeine 45 MG / codeine 10 MG Oral Tablet
250143	acetaminophen 500 MG / codeine 10 MG Oral Tablet
250163	acetaminophen 500 MG / codeine 10 MG Oral Capsule
250304	cyclizine 50 MG/ML / morphine 10 MG/ML Injectable Solution
250305	cyclizine 50 MG/ML / morphine 15 MG/ML Injectable Solution
250426	buprenorphine (as buprenorphine hydrochloride) 0.4 MG Sublingual Tablet
250473	diacetylmorphine HCl 10 MG Oral Tablet
250486	pentazocine 50 MG Oral Capsule
250549	acetaminophen 450 MG / codeine 8.1 MG Oral Tablet
250779	heroin 5 MG/ML Injectable Solution
250877	Pentazocine (as pentazocine lactate) 50 mg rectal suppository
251751	guaifenesin 20 MG/ML / menthol 0.22 MG/ML Oral Solution
258342	L-Dromoran
260063	guaifenesin 200 MG / theophylline 150 MG Oral Tablet
261106	fentanyl 0.2 MG Oral Lozenge [Actiq]
261107	fentanyl 0.6 MG Oral Lozenge [Actiq]
261108	fentanyl 0.8 MG Oral Lozenge [Actiq]
261109	fentanyl 1.2 MG Oral Lozenge [Actiq]
261110	fentanyl 1.6 MG Oral Lozenge [Actiq]
261184	72 HR fentanyl 0.025 MG/HR Transdermal System [Duragesic]
261185	72 HR fentanyl 0.05 MG/HR Transdermal System [Duragesic]
261186	72 HR fentanyl 0.075 MG/HR Transdermal System [Duragesic]
262071	72 HR fentanyl 0.1 MG/HR Transdermal System [Duragesic]
262219	fentanyl 0.4 MG Oral Lozenge [Actiq]
282381	Demerol
284629	carbetapentane / guaifenesin / phenylephrine
284630	carbinoxamine / hydrocodone / pseudoephedrine
284773	Maxidone
285042	Allfen
309421	CODEINE 10MG/GG 100MG/PHENIRAMINE 7.5MG/5ML LIQUID
309446	Aluminum Hydroxide 75 MG / ASA 325 MG / Codeine 15 MG / Magnesium Hydroxide 75 MG
309450	ASA 325 MG / butalbital 50 MG / Caffeine 40 MG / Codeine 15 MG Oral Capsule
309469	acetaminophen 325 MG / butalbital 50 MG / caffeine 40 MG / codeine 30 MG Oral Tab
309472	ASA 325 MG / butalbital 50 MG / Caffeine 40 MG / Codeine 30 MG Oral Tablet
309477	ASA 325 MG / butalbital 50 MG / Caffeine 40 MG / Codeine 7.5 MG Oral Capsule
309486	chlorpheniramine maleate 0.8 MG/ML / codeine polistirex 2 MG/ML Extended Release
309561	chlorpheniramine maleate 1 MG/ML / guaifenesin 20 MG/ML / phenylephrine hydrochloride 2 MG/ML Oral Solution
309740	"DEXTROMETHORPHAN 15MG/GUAIFENESIN 300MG SPRINKLE CAP,SA"
310044	dyphylline 200 MG / guaifenesin 200 MG Oral Capsule
310045	DY-G 100mg-100mg/5ml Liquid
310292	fentanyl (as fentanyl citrate) 100 MCG Oral Lozenge
310293	fentanyl 1.2 MG Oral Lozenge
310294	fentanyl 1.6 MG Oral Lozenge
310295	fentanyl 0.2 MG Oral Lozenge
310296	fentanyl (as fentanyl citrate) 300 MCG Oral Lozenge
310297	fentanyl 0.4 MG Oral Lozenge
310604	Adult Tussin Expectorant 200mg/10mL Solution (Original)
310608	GG 100/PHENYLPROPANOLAMIN 12.5MG/5ML LIQ
310610	GG 100/PHENYLPROPANOLAMINE 25MG/5ML LIQ
310625	Diabetic Tussin Mucus Relief 200mg/5ml Liquid
310626	guaifenesin 200 MG / phenylephrine hydrochloride 40 MG Extended Release Oral Capsule
310635	guaifenesin 300 MG Extended Release Oral Capsule
310636	guaifenesin 300 MG / phenylephrine hydrochloride 20 MG Extended Release Oral Tablet
310637	Crantex 300mg-10mg Extended-Release Capsule
310639	Boca-Tex LA 400mg-75mg Extended-Release Tablet
310645	guaiFENesin 40 MG/mL / pseudoephedrine HCl 7.5 MG/mL Oral Solution
311300	levorphanol 2 mg/mL injectable solution
312103	"belladonna extract, USP 15 MG / opium 30 MG Rectal Suppository"
312104	belladonna alkaloids 16.2 MG / opium 30 MG Rectal Suppository
312106	belladonna alkaloids 15 MG / opium 60 MG Rectal Suppository
312107	belladonna alkaloids 16.2 MG / opium 60 MG Rectal Suppository
312289	naloxone 0.5 MG / pentazocine 50 MG Oral Tablet
313927	chlorpheniramine maleate 0.4 MG/ML / codeine phosphate 2 MG/ML / phenylephrine hy
313992	fentanyl 0.6 MG Oral Lozenge
313993	fentanyl 0.8 MG Oral Lozenge
314667	hydrocodone resin complex
314905	acetaminophen 300 MG / codeine 45 MG Oral Tablet
314929	chlorpheniramine maleate 0.8 MG/ML / ephedrine HCl 1.64 MG/ML / guaifenesin 20 MG/ML / hydroiodic acid 0.334 ML/ML Oral Solution
314986	ASA 200 MG / butalbital 50 MG / Caffeine 40 MG / Codeine 30 MG Oral Tablet
315048	CODEINE 10MG/GG 100MG/P-EPHRINE 5MG/5ML LIQUID
315109	guaifenesin 200 MG / phenylephrine 10 MG Extended Release Oral Capsule
315110	guaifenesin 200 MG / phenylpropanolamine 75 MG Extended Release Oral Tablet
315111	guaifenesin 200 MG / theophylline 250 MG Oral Tablet
315710	codeine 2 MG/ML
316006	guaifenesin 10 MG/ML
316007	guaifenesin 1200 MG
316008	guaifenesin 13.4 MG/ML
316009	guaifenesin 17 MG/ML
316010	guaifenesin 180 MG
316011	guaifenesin 20 MG/ML
316012	guaifenesin 250 MG
316013	guaifenesin 30 MG/ML
316014	guaifenesin 40 MG/ML
316015	guaifenesin 400 MG
316016	guaifenesin 5 MG/ML
316017	guaifenesin 50 MG
316018	guaifenesin 50 MG/ML
316019	guaifenesin 500 MG
316020	guaifenesin 600 MG
316021	guaifenesin 90 MG
316409	opium 30 MG
316422	oxycodone 5 MG
317382	guaifenesin 125 MG
317383	guaifenesin 15 MG/ML
317384	guaifenesin 200 MG
317385	guaifenesin 300 MG
317386	guaifenesin 6 MG/ML
317452	opium 60 MG
317640	guaifenesin 100 MG
317641	hydrocodone 5 MG
323935	oxycodone 20 MG
328183	fentanyl 0.025 MG/HR
328184	fentanyl 0.1 MG/HR
328186	fentanyl 0.05 MG/HR
328187	fentanyl 0.075 MG/HR
328253	codeine 30 MG
328264	fentanyl 0.05 MG/ML
328365	codeine 60 MG
328382	fentanyl 1.5 MG/ML
328383	fentanyl 2.5 MG/ML
328385	fentanyl 0.2 MG
328387	fentanyl 0.3 MG
328388	fentanyl 0.4 MG
328396	pentazocine 50 MG
328460	oxycodone 1 MG/ML
328542	codeine 10 MG
328548	codeine 20 MG
328697	morphine 10 MG/ML
328699	codeine 15 MG
328781	morphine 15 MG/ML
328963	pentazocine 12.5 MG
329085	pentazocine 25 MG
329110	guaifenesin 800 MG
329470	codeine 45 MG
329471	codeine 7.5 MG
329472	codeine 1.64 MG/ML
329756	fentanyl 0.1 MG
329983	meperidine 100 MG
330335	fentanyl 1.2 MG
330336	fentanyl 1.6 MG
330337	fentanyl 0.8 MG
330540	guaifenesin 6.67 MG/ML
330592	oxycodone 10 MG
330790	guaifenesin 575 MG
330796	oxycodone 2.5 MG
330801	buprenorphine 0.3 MG/ML
330810	pentazocine 30 MG/ML
330860	fentanyl 0.6 MG
330885	codeine 8 MG
330886	codeine 12 MG
330889	codeine 1 MG/ML
330893	codeine 8.1 MG
331140	morphine 0.23 MG
331158	opium 65 MG
331390	guaifenesin 13.3 MG/ML
331454	guaifenesin 1000 MG
331533	oxycodone 30 MG
331570	guaifenesin 700 MG
331746	codeine 50 MG/ML
331795	guaifenesin 80 MG/ML
331798	guaifenesin 120 MG
331918	fentanyl 0.005 MG/ML
331919	fentanyl 0.002 MG/ML
332062	guaifenesin 900 MG
332063	guaifenesin 525 MG
332064	guaifenesin 650 MG
332597	guaifenesin 550 MG
332698	buprenorphine 0.7 MG
332918	codeine 10 MG/ML
332919	codeine 100 MG
332999	guaifenesin 675 MG
333004	heroin 10 MG
333623	buprenorphine 0.4 MG
333677	heroin 100 MG/ML
333805	heroin 30 MG/ML
334968	guaifenesin 60 MG/ML
335250	morphine 2.8 MG/ML
335340	pentazocine 15 MG
335407	guaifenesin 45 MG/ML
335703	guaifenesin 8 MG/ML
335762	tramadol 100 MG
336002	guaifenesin 25 MG
336013	codeine 16 MG
336162	guaifenesin 150 MG
336348	guaifenesin 825 MG
336349	guaifenesin 3 MG/ML
336552	guaifenesin 5.2 MG/ML
336588	opium 1.5 MG
336590	opium 0.6 MG/ML
336593	opium 2.43 MG
340123	guaifenesin 0.00667 MG/MG
343216	naloxone 0.5 MG
345857	guaifenesin 16 MG/ML
347044	acetaminophen 325 MG / codeine 45 MG Oral Tablet
349386	dyphylline 200 MG / guaifenesin 400 MG Extended Release Oral Tablet
349629	Bi-Filin G 200mg-300mg Tablet
349780	guaifenesin 183 MG
350662	guaifenesin 275 MG
350666	guaifenesin 595 MG
350668	guaifenesin 795 MG
351264	buprenorphine 2 MG Sublingual Tablet
351265	buprenorphine 8 MG Sublingual Tablet
351266	buprenorphine 2 MG / naloxone 0.5 MG Sublingual Tablet
