RXNORM	STR
353390	buprenorphine 2 MG
353391	buprenorphine Topical Product
353392	naloxone 2 MG
360444	fentanyl 0.004 MG/ML
363965	methadone Oral Solution [Methadose]
364048	codeine / guaifenesin / pseudoephedrine Oral Solution [Cheratussin DAC]
366536	acetaminophen / butalbital / caffeine / codeine Oral Capsule [Fioricet with Codeine]
366726	codeine / pseudoephedrine Oral Capsule [Nucofed]
366919	morphine Extended Release Oral Capsule [Kadian]
367214	fentanyl Oral Lozenge [Actiq]
367843	acetaminophen / hydrocodone Oral Tablet [Lorcet]
368158	oxycodone Oral Tablet [Roxicodone]
368308	hydrocodone / ibuprofen Oral Tablet [Vicoprofen]
368362	acetaminophen / hydrocodone Oral Tablet [Lortab]
368791	naltrexone Oral Tablet [ReVia]
368846	methadone Oral Tablet [Methadose]
368847	methadone Oral Tablet [Dolophine]
368895	hydromorphone Oral Tablet [Dilaudid]
369248	acetaminophen / codeine Oral Tablet [Tylenol with Codeine]
369266	hydrocodone / pseudoephedrine Oral Tablet [P-V-Tussin]
369283	tramadol Oral Tablet [Ultram]
369336	homatropine / hydrocodone Oral Tablet [Tussigon]
369486	acetaminophen / tramadol Oral Tablet [Ultracet]
369896	morphine Extended Release Oral Tablet [MS Contin]
370158	oxycodone Extended Release Oral Tablet [Oxycontin]
370641	acetaminophen / hydrocodone Oral Tablet
370642	acetaminophen / hydrocodone Oral Capsule
370643	aspirin / hydrocodone Oral Tablet
370644	homatropine / hydrocodone Oral Tablet
370652	hydromorphone Injectable Solution
370653	hydromorphone Oral Solution
370654	hydromorphone Oral Tablet
370655	hydromorphone Rectal Suppository
370676	hydrocodone / ibuprofen Oral Tablet
370748	acetaminophen / codeine Oral Capsule
370751	acetaminophen / codeine Oral Solution
370754	acetaminophen / codeine Oral Tablet
370759	acetaminophen / hydrocodone Oral Solution
370763	acetaminophen / dihydrocodeine Oral Tablet
370943	aspirin / codeine Oral Tablet
370998	belladonna alkaloids / opium Rectal Suppository
371161	buprenorphine Sublingual Tablet
371174	butorphanol Injectable Solution
371454	chlorpheniramine / hydrocodone Oral Solution
371609	codeine Injectable Solution
371610	codeine Oral Solution
371613	codeine Oral Tablet
371616	codeine / guaifenesin Oral Solution
371618	codeine / guaifenesin Oral Tablet
371779	heroin Oral Tablet
371838	dihydrocodeine Oral Tablet
371839	dihydrocodeine Extended Release Oral Tablet
372161	fentanyl Oral Lozenge
372410	hydrocodone Oral Tablet
372412	guaifenesin / hydrocodone Oral Solution
372427	hydromorphone Extended Release Oral Capsule
372455	codeine / ibuprofen Oral Tablet
372456	codeine / ibuprofen Extended Release Oral Tablet
372593	levorphanol Oral Tablet
372764	meperidine Injectable Solution
372766	meperidine Oral Tablet
372806	methadone Oral Solution
372807	methadone Injectable Solution
372808	methadone Oral Tablet
372956	morphine Injectable Solution
372957	morphine Rectal Suppository
372959	morphine Oral Tablet
372960	morphine Extended Release Oral Tablet
372961	morphine Oral Capsule
372966	cyclizine / morphine Injectable Solution
372986	nalbuphine Injectable Solution
372989	naloxone Injectable Solution
372990	naltrexone Oral Tablet
373195	oxycodone Oral Capsule
373196	oxycodone Oral Solution
373198	oxycodone Oral Tablet
373199	acetaminophen / oxycodone Oral Solution
373200	acetaminophen / oxycodone Oral Tablet
373678	codeine / pseudoephedrine Oral Capsule
373682	hydrocodone / pseudoephedrine Oral Tablet
374169	tramadol Oral Capsule
374170	tramadol Injectable Solution
374171	tramadol Oral Solution
374173	tramadol Oral Tablet
374174	tramadol Extended Release Oral Tablet
374389	meperidine / promethazine Oral Capsule
374654	morphine Extended Release Oral Capsule
374689	codeine / guaifenesin / pseudoephedrine Oral Solution
374696	guaifenesin / hydrocodone / pseudoephedrine Oral Solution
374711	aspirin / oxycodone Oral Tablet
374756	aspirin / butalbital / caffeine / codeine Oral Capsule
374757	aspirin / caffeine / dihydrocodeine Oral Capsule
374760	aspirin / carisoprodol / codeine Oral Tablet
374787	acetaminophen / caffeine / dihydrocodeine Oral Capsule
374790	chlorpheniramine / hydrocodone / pseudoephedrine Oral Solution
374804	chlorpheniramine / codeine / pseudoephedrine Oral Solution
374808	chlorpheniramine / hydrocodone / phenylephrine Oral Solution
374830	acetaminophen / butalbital / caffeine / codeine Oral Capsule
375581	acetaminophen / oxycodone Oral Capsule
375674	acetaminophen / caffeine / dihydrocodeine Oral Tablet
375684	brompheniramine / guaifenesin / hydrocodone Oral Solution
375719	codeine / promethazine Oral Solution
376065	brompheniramine / codeine / phenylephrine Oral Solution
376076	codeine / phenylephrine / promethazine Oral Solution
376079	aluminum hydroxide / aspirin / codeine / magnesium hydroxide Oral Tablet
376200	chlorpheniramine / codeine Oral Solution
376420	chlorpheniramine / codeine / phenylephrine Oral Solution
377949	opium Oral Solution
378347	brompheniramine / codeine / phenylpropanolamine Oral Solution
378591	codeine / pseudoephedrine Oral Solution
378712	acetaminophen / tramadol Oral Tablet
378762	buprenorphine / naloxone Sublingual Tablet
378789	chlorpheniramine / codeine Extended Release Suspension
378790	chlorpheniramine / hydrocodone Extended Release Suspension
379112	buprenorphine 0.6 MG
379186	fentanyl / ropivacaine Injectable Solution
379273	codeine / kaolin Oral Suspension
379297	naloxone / pentazocine Oral Tablet
379523	tramadol Extended Release Oral Capsule
385094	oxycodone Extended Release Oral Tablet
385569	hydromorphone Oral Capsule
402341	oxycodone Injectable Solution
402411	tramadol Disintegrating Oral Tablet
405927	chlorpheniramine / dihydrocodeine / phenylephrine Oral Solution
438611	chlorpheniramine / codeine Oral Suspension
439950	codeine / guaifenesin Oral Capsule
483322	ibuprofen / oxycodone Oral Tablet
542943	acetaminophen / hydrocodone Oral Solution [Hycet]
544565	hydromorphone Oral Solution [Dilaudid]
566435	buprenorphine 0.3 MG/ML [Buprenex]
574353	fentanyl 0.2 MG [Actiq]
574354	fentanyl 0.6 MG [Actiq]
574355	fentanyl 0.8 MG [Actiq]
574356	fentanyl 1.2 MG [Actiq]
574357	fentanyl 1.6 MG [Actiq]
574418	fentanyl 0.025 MG/HR [Duragesic]
574419	fentanyl 0.05 MG/HR [Duragesic]
574420	fentanyl 0.075 MG/HR [Duragesic]
574656	fentanyl 0.1 MG/HR [Duragesic]
574688	fentanyl 0.4 MG [Actiq]
577056	fentanyl 0.012 MG/HR
577057	72 HR fentanyl 0.012 MG/HR Transdermal System
583489	fentanyl 0.012 MG/HR [Duragesic]
583490	72 HR fentanyl 0.012 MG/HR Transdermal System [Duragesic]
604667	chlorpheniramine / phenylephrine / pyrilamine Oral Solution [Poly Hist PD]
604669	chlorpheniramine maleate 0.4 MG/ML / phenylephrine hydrochloride 1.5 MG/ML / pyrilamine maleate 2.5 MG/ML Oral Solution [Poly Hist PD]
608008	meperidine Oral Solution
616518	tramadol Extended Release Oral Tablet [Ultram]
637216	naltrexone 380 MG Injection [Vivitrol]
637538	oxycodone hydrochloride 4.5 MG
637539	oxycodone terephthalate 0.38 MG
637540	aspirin 325 MG / oxycodone hydrochloride 4.5 MG / oxycodone terephthalate 0.38 MG Oral Tablet
643113	oxymorphone Oral Tablet
643115	oxymorphone Extended Release Oral Tablet
643157	oxymorphone Oral Tablet [Opana]
668362	fentanyl Buccal Tablet
668363	fentanyl 0.1 MG Buccal Tablet
668364	fentanyl 0.2 MG Buccal Tablet
668365	fentanyl 0.4 MG Buccal Tablet
668366	fentanyl 0.6 MG Buccal Tablet
668367	fentanyl 0.8 MG Buccal Tablet
668620	fentanyl 0.1 MG [Fentora]
668621	fentanyl Buccal Tablet [Fentora]
668622	fentanyl 0.1 MG Buccal Tablet [Fentora]
668623	fentanyl 0.2 MG [Fentora]
668624	fentanyl 0.2 MG Buccal Tablet [Fentora]
668625	fentanyl 0.4 MG [Fentora]
668626	fentanyl 0.4 MG Buccal Tablet [Fentora]
668627	fentanyl 0.6 MG [Fentora]
668628	fentanyl 0.6 MG Buccal Tablet [Fentora]
668629	fentanyl 0.8 MG [Fentora]
668630	fentanyl 0.8 MG Buccal Tablet [Fentora]
700585	aspirin / butalbital / caffeine / codeine Oral Capsule [Ascomp]
702130	bromodiphenhydramine / codeine Oral Solution
724134	hydrocodone / ibuprofen Oral Tablet [Reprexain]
724542	oxycodone terephthalate 0.19 MG
724613	oxycodone hydrochloride 2.25 MG
724614	aspirin 325 MG / oxycodone hydrochloride 2.25 MG / oxycodone terephthalate 0.19 MG Oral Tablet
725817	guaiacolsulfonate / hydrocodone Oral Solution [Hy-KXP]
726020	guaiacolsulfonate / hydrocodone Oral Solution
727348	naloxone Prefilled Syringe
727616	meperidine Prefilled Syringe
727759	2 ML fentanyl 0.05 MG/ML Cartridge
730982	chlorpheniramine / hydrocodone Extended Release Oral Capsule
730986	chlorpheniramine / hydrocodone Extended Release Oral Capsule [TussiCaps]
746613	acetaminophen / caffeine / dihydrocodeine Oral Capsule [Trezix]
746938	morphine Prefilled Syringe
749201	codeine / guaifenesin / pseudoephedrine Oral Tablet
756634	codeine / guaifenesin Oral Solution [Cheracol with Codeine]
756660	codeine / phenylephrine / pyrilamine Oral Solution
756712	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Ventuss]
756904	guaifenesin / hydromorphone Oral Solution
756905	guaifenesin / hydromorphone Oral Solution [Dilaudid Cough]
757041	homatropine / hydrocodone Oral Solution
757043	homatropine / hydrocodone Oral Solution [Hydromet]
757136	dihydrocodeine Oral Solution
758973	hydrocodone / ibuprofen Oral Tablet [Ibudone]
763042	hydromorphone Prefilled Syringe
790448	codeine / guaifenesin / phenylephrine Oral Tablet
792246	brompheniramine / codeine / pseudoephedrine Oral Solution
794970	codeine / dexchlorpheniramine / phenylephrine Oral Solution
795454	codeine / guaifenesin Oral Solution [M-Clear WC]
798762	codeine / guaifenesin Oral Tablet [Allfen CDX]
798941	codeine / guaifenesin / phenylephrine Oral Tablet [Maxiphen CDX]
798977	codeine / guaifenesin / pseudoephedrine Oral Tablet [Ambifed-G CD]
798981	codeine / guaifenesin / pseudoephedrine Oral Tablet [Ambifed CD]
804568	brompheniramine / codeine Oral Tablet
804572	brompheniramine / codeine Oral Tablet [BroveX CB]
804583	brompheniramine / codeine / phenylephrine Oral Tablet
804587	brompheniramine / codeine / phenylephrine Oral Tablet [Brovex PBC]
804749	acetaminophen / hydrocodone Oral Solution [Zamicet]
825195	acetaminophen / oxycodone Oral Tablet [Percocet]
825231	acetaminophen / oxycodone Oral Tablet [Endocet]
825407	tapentadol 100 MG
825408	tapentadol Oral Tablet
825409	tapentadol 100 MG Oral Tablet
825410	tapentadol 50 MG
825411	tapentadol 50 MG Oral Tablet
825412	tapentadol 75 MG
825413	tapentadol 75 MG Oral Tablet
828712	morphine sulfate 45 MG
828716	morphine sulfate 75 MG
829847	acetaminophen / hydrocodone Oral Tablet [Norco]
830195	opium tincture 100 MG/ML
830196	opium tincture 100 MG/ML Oral Solution
830709	brompheniramine / codeine / phenylephrine Oral Solution [M-End PE]
831431	tramadol hydrochloride 100 MG
831437	tramadol hydrochloride 200 MG
831441	tramadol hydrochloride 300 MG
832714	codeine / guaifenesin Oral Solution [Mar-cof CG]
832866	codeine phosphate 2 MG/ML
833035	hydrocodone bitartrate 7.5 MG
833036	acetaminophen 750 MG / hydrocodone bitartrate 7.5 MG Oral Tablet
833709	24 HR tramadol hydrochloride 100 MG Extended Release Oral Tablet
833711	24 HR tramadol hydrochloride 200 MG Extended Release Oral Tablet
833713	24 HR tramadol hydrochloride 300 MG Extended Release Oral Tablet
835602	tramadol hydrochloride 50 MG
835603	tramadol hydrochloride 50 MG Oral Tablet
835604	tramadol hydrochloride 50 MG [Ultram]
835605	tramadol hydrochloride 50 MG Oral Tablet [Ultram]
836394	tramadol hydrochloride 37.5 MG
836395	acetaminophen 325 MG / tramadol hydrochloride 37.5 MG Oral Tablet
836396	acetaminophen 325 MG / tramadol hydrochloride 37.5 MG [Ultracet]
836397	acetaminophen 325 MG / tramadol hydrochloride 37.5 MG Oral Tablet [Ultracet]
836402	tramadol hydrochloride 200 MG [Ultram]
836405	tramadol hydrochloride 300 MG [Ultram]
836484	tramadol hydrochloride 1 MG/ML
836487	tramadol hydrochloride 150 MG
836491	tramadol hydrochloride 400 MG
845315	24 HR tramadol hydrochloride 200 MG Extended Release Oral Tablet [Ultram]
845316	24 HR tramadol hydrochloride 300 MG Extended Release Oral Tablet [Ultram]
848767	oxycodone hydrochloride 4.84 MG
848768	aspirin 325 MG / oxycodone hydrochloride 4.84 MG Oral Tablet
848936	chlorpheniramine / dihydrocodeine / phenylephrine Oral Solution [ColdCough PD]
849328	tramadol hydrochloride 50 MG/ML
849330	tramadol hydrochloride 75 MG
854138	tapentadol 100 MG [Nucynta]
854139	tapentadol Oral Tablet [Nucynta]
854140	tapentadol 100 MG Oral Tablet [Nucynta]
854141	tapentadol 50 MG [Nucynta]
854142	tapentadol 50 MG Oral Tablet [Nucynta]
854143	tapentadol 75 MG [Nucynta]
854144	tapentadol 75 MG Oral Tablet [Nucynta]
856891	hydrocodone bitartrate 10 MG
856902	hydrocodone bitartrate 5 MG
856903	acetaminophen 500 MG / hydrocodone bitartrate 5 MG Oral Tablet
856908	acetaminophen 660 MG / hydrocodone bitartrate 10 MG Oral Tablet
856914	hydrocodone bitartrate 1 MG/ML
856939	hydrocodone bitartrate 0.5 MG/ML
856940	acetaminophen 21.7 MG/ML / hydrocodone bitartrate 0.5 MG/ML Oral Solution
856941	acetaminophen 21.7 MG/ML / hydrocodone bitartrate 0.5 MG/ML [Hycet]
856942	acetaminophen 21.7 MG/ML / hydrocodone bitartrate 0.5 MG/ML Oral Solution [Hycet]
856943	hydrocodone bitartrate 0.67 MG/ML
856944	acetaminophen 21.7 MG/ML / hydrocodone bitartrate 0.67 MG/ML Oral Solution
856945	acetaminophen 21.7 MG/ML / hydrocodone bitartrate 0.67 MG/ML [Zamicet]
856946	acetaminophen 21.7 MG/ML / hydrocodone bitartrate 0.67 MG/ML Oral Solution [Zamicet]
856962	acetaminophen 500 MG / hydrocodone bitartrate 5 MG Oral Capsule
856980	acetaminophen 300 MG / hydrocodone bitartrate 10 MG Oral Tablet
856987	acetaminophen 300 MG / hydrocodone bitartrate 5 MG Oral Tablet
856992	acetaminophen 300 MG / hydrocodone bitartrate 7.5 MG Oral Tablet
856999	acetaminophen 325 MG / hydrocodone bitartrate 10 MG Oral Tablet
857000	acetaminophen 325 MG / hydrocodone bitartrate 10 MG [Norco]
857001	acetaminophen 325 MG / hydrocodone bitartrate 10 MG Oral Tablet [Norco]
857002	acetaminophen 325 MG / hydrocodone bitartrate 5 MG Oral Tablet
857003	acetaminophen 325 MG / hydrocodone bitartrate 5 MG [Norco]
857004	acetaminophen 325 MG / hydrocodone bitartrate 5 MG Oral Tablet [Norco]
857005	acetaminophen 325 MG / hydrocodone bitartrate 7.5 MG Oral Tablet
857006	acetaminophen 325 MG / hydrocodone bitartrate 7.5 MG [Norco]
857007	acetaminophen 325 MG / hydrocodone bitartrate 7.5 MG Oral Tablet [Norco]
857075	hydrocodone bitartrate 0.333 MG/ML
857076	acetaminophen 33.3 MG/ML / hydrocodone bitartrate 0.333 MG/ML Oral Solution
857083	acetaminophen 650 MG / hydrocodone bitartrate 7.5 MG Oral Tablet
857099	acetaminophen 33.3 MG/ML / hydrocodone bitartrate 0.5 MG/ML Oral Solution
857104	acetaminophen / hydrocodone Oral Solution [Lortab]
857107	acetaminophen 500 MG / hydrocodone bitartrate 10 MG Oral Tablet
857110	hydrocodone bitartrate 2.5 MG
857111	acetaminophen 500 MG / hydrocodone bitartrate 2.5 MG Oral Tablet
857118	acetaminophen 500 MG / hydrocodone bitartrate 7.5 MG Oral Tablet
857121	aspirin 500 MG / hydrocodone bitartrate 5 MG Oral Tablet
857124	hydrocodone bitartrate 0.667 MG/ML
857128	acetaminophen 400 MG / hydrocodone bitartrate 10 MG Oral Tablet
857131	acetaminophen 400 MG / hydrocodone bitartrate 5 MG Oral Tablet
857134	acetaminophen 400 MG / hydrocodone bitartrate 7.5 MG Oral Tablet
857192	butorphanol Injectable Solution [Dolorex Solution]
857235	pentazocine 30 MG/ML [Talwin]
857236	pentazocine Injectable Solution [Talwin]
857237	pentazocine 30 MG/ML Injectable Solution [Talwin]
857383	acetaminophen 650 MG / hydrocodone bitartrate 10 MG Oral Tablet
857391	acetaminophen 325 MG / hydrocodone bitartrate 2.5 MG Oral Tablet
857501	acetaminophen 556 MG / hydrocodone bitartrate 5 MG Oral Tablet
857512	12 HR chlorpheniramine polistirex 8 MG / hydrocodone polistirex 10 MG Extended Release Oral Capsule
858086	fentanyl Buccal Film
858770	hydrocodone bitartrate 2.5 MG / ibuprofen 200 MG Oral Tablet
858771	hydrocodone bitartrate 2.5 MG / ibuprofen 200 MG [Reprexain]
858772	hydrocodone bitartrate 2.5 MG / ibuprofen 200 MG Oral Tablet [Reprexain]
858778	hydrocodone bitartrate 5 MG / ibuprofen 200 MG Oral Tablet
858779	hydrocodone bitartrate 5 MG / ibuprofen 200 MG [Ibudone]
858780	hydrocodone bitartrate 5 MG / ibuprofen 200 MG Oral Tablet [Ibudone]
858798	hydrocodone bitartrate 7.5 MG / ibuprofen 200 MG Oral Tablet
858837	hydrocodone bitartrate 7.5 MG / ibuprofen 200 MG [Vicoprofen]
858838	hydrocodone bitartrate 7.5 MG / ibuprofen 200 MG Oral Tablet [Vicoprofen]
858966	hydrocodone bitartrate 0.9 MG/ML
858968	guaiacolsulfonate 60 MG/ML / hydrocodone bitartrate 0.9 MG/ML [Hy-KXP]
858969	guaiacolsulfonate 60 MG/ML / hydrocodone bitartrate 0.9 MG/ML Oral Solution [Hy-KXP]
859315	hydrocodone bitartrate 10 MG / ibuprofen 200 MG Oral Tablet
859316	hydrocodone bitartrate 10 MG / ibuprofen 200 MG [Ibudone]
859317	hydrocodone bitartrate 10 MG / ibuprofen 200 MG Oral Tablet [Ibudone]
859364	chlorpheniramine / codeine Oral Suspension [Zodryl AC]
859383	guaifenesin 40 MG/ML / hydrocodone bitartrate 0.5 MG/ML Oral Solution
859955	morphine sulfate 20 MG
859956	naltrexone hydrochloride 0.8 MG
859963	morphine sulfate 30 MG
859964	naltrexone hydrochloride 1.2 MG
859968	morphine sulfate 50 MG
859969	naltrexone hydrochloride 2 MG
860791	meperidine hydrochloride 75 MG/ML
860792	1 ML meperidine hydrochloride 75 MG/ML Cartridge
861446	meperidine hydrochloride 10 MG/ML
861447	meperidine hydrochloride 10 MG/ML Injectable Solution
861454	meperidine hydrochloride 100 MG
861455	meperidine hydrochloride 100 MG Oral Tablet
861458	meperidine hydrochloride 100 MG/ML
861459	meperidine hydrochloride 100 MG/ML Injectable Solution
861462	meperidine hydrochloride 50 MG/ML
861463	meperidine hydrochloride 50 MG/ML Injectable Solution
861466	meperidine hydrochloride 50 MG
861467	meperidine hydrochloride 50 MG Oral Tablet
861473	1 ML meperidine hydrochloride 50 MG/ML Cartridge
861475	meperidine hydrochloride 25 MG/ML
861476	1 ML meperidine hydrochloride 25 MG/ML Injection
861479	meperidine hydrochloride 10 MG/ML Oral Solution
861493	1 ML meperidine hydrochloride 100 MG/ML Cartridge
861494	1 ML meperidine hydrochloride 25 MG/ML Cartridge
861515	meperidine hydrochloride 100 MG [Demerol]
861516	meperidine Oral Tablet [Demerol]
861517	meperidine hydrochloride 100 MG Oral Tablet [Demerol]
861518	meperidine hydrochloride 100 MG/ML [Demerol]
861519	meperidine Injectable Solution [Demerol]
861520	meperidine hydrochloride 100 MG/ML Injectable Solution [Demerol]
861521	meperidine hydrochloride 50 MG/ML [Demerol]
861522	meperidine hydrochloride 50 MG/ML Injectable Solution [Demerol]
861524	meperidine hydrochloride 50 MG [Demerol]
861525	meperidine hydrochloride 50 MG Oral Tablet [Demerol]
861529	1 ML meperidine hydrochloride 50 MG/ML Cartridge [Demerol]
861530	meperidine hydrochloride 25 MG/ML [Demerol]
861535	meperidine hydrochloride 75 MG/ML [Demerol]
861578	meperidine hydrochloride 50 MG / promethazine hydrochloride 25 MG Oral Capsule
861617	1 ML meperidine hydrochloride 75 MG/ML Cartridge [Demerol]
863539	morphine sulfate 100 MG
863540	naltrexone hydrochloride 4 MG
863546	morphine sulfate 60 MG
863547	naltrexone hydrochloride 2.4 MG
863551	morphine sulfate 80 MG
863552	naltrexone hydrochloride 3.2 MG
863844	morphine / naltrexone Extended Release Oral Capsule
863845	Abuse-Deterrent morphine sulfate 100 MG / naltrexone hydrochloride 4 MG Extended Release Oral Capsule
863848	Abuse-Deterrent morphine sulfate 20 MG / naltrexone hydrochloride 0.8 MG Extended Release Oral Capsule
863850	Abuse-Deterrent morphine sulfate 30 MG / naltrexone hydrochloride 1.2 MG Extended Release Oral Capsule
863852	Abuse-Deterrent morphine sulfate 50 MG / naltrexone hydrochloride 2 MG Extended Release Oral Capsule
863854	Abuse-Deterrent morphine sulfate 60 MG / naltrexone hydrochloride 2.4 MG Extended Release Oral Capsule
863856	Abuse-Deterrent morphine sulfate 80 MG / naltrexone hydrochloride 3.2 MG Extended Release Oral Capsule
864705	methadone hydrochloride 10 MG
864706	methadone hydrochloride 10 MG Oral Tablet
864707	methadone hydrochloride 10 MG [Dolophine]
864708	methadone hydrochloride 10 MG Oral Tablet [Dolophine]
864711	methadone hydrochloride 10 MG [Methadose]
864712	methadone hydrochloride 10 MG Oral Tablet [Methadose]
864713	methadone hydrochloride 10 MG/ML
864714	methadone hydrochloride 10 MG/ML Injectable Solution
864717	methadone hydrochloride 5 MG
864718	methadone hydrochloride 5 MG Oral Tablet
864719	methadone hydrochloride 5 MG [Dolophine]
864720	methadone hydrochloride 5 MG Oral Tablet [Dolophine]
864736	methadone hydrochloride 5 MG [Methadose]
864737	methadone hydrochloride 5 MG Oral Tablet [Methadose]
864760	methadone hydrochloride 1 MG/ML
864761	methadone hydrochloride 1 MG/ML Oral Solution
864768	methadone hydrochloride 2 MG/ML
864769	methadone hydrochloride 2 MG/ML Oral Solution
864825	methadone hydrochloride 5 MG/ML
864978	methadone hydrochloride 40 MG Tablet for Oral Suspension
864980	methadone hydrochloride 40 MG Tablet for Oral Suspension [Methadose]
864983	methadone hydrochloride 20 MG/ML
866126	codeine / guaifenesin / pseudoephedrine Oral Suspension
866172	codeine / guaifenesin / pseudoephedrine Oral Suspension [Zodryl DEC]
866851	chlorpheniramine / codeine / pseudoephedrine Oral Suspension
866874	chlorpheniramine / codeine / pseudoephedrine Oral Suspension [Zodryl DAC]
877456	codeine / guaifenesin Oral Capsule [M-Clear WC]
877461	brompheniramine / codeine / pseudoephedrine Oral Solution [Mar-cof BP]
886621	butorphanol tartrate 2 MG/ML
886622	butorphanol tartrate 2 MG/ML Injectable Solution
886626	butorphanol tartrate 1 MG/ML
886627	1 ML butorphanol tartrate 1 MG/ML Injection
886634	butorphanol tartrate 1 MG/ACTUAT Metered Dose Nasal Spray
891481	codeine phosphate 1.5 MG/ML
891874	morphine sulfate 100 MG Extended Release Oral Tablet
891877	morphine sulfate 15 MG
891881	morphine sulfate 15 MG Extended Release Oral Tablet
891888	morphine sulfate 30 MG Extended Release Oral Tablet
891893	morphine sulfate 60 MG Extended Release Oral Tablet
892296	morphine sulfate 120 MG
892297	24 HR morphine sulfate 120 MG Extended Release Oral Capsule
892342	24 HR morphine sulfate 30 MG Extended Release Oral Capsule
892345	morphine sulfate 30 MG Extended Release Oral Capsule
892349	24 HR morphine sulfate 60 MG Extended Release Oral Capsule
892352	morphine sulfate 60 MG Extended Release Oral Capsule
892354	morphine sulfate 90 MG
892355	24 HR morphine sulfate 90 MG Extended Release Oral Capsule
892364	morphine sulfate 0.5 MG/ML
892366	morphine sulfate 0.5 MG/ML [Astramorph]
892471	morphine sulfate 0.5 MG/ML [Duramorph]
892473	10 ML morphine sulfate 0.5 MG/ML Injection [Duramorph]
892476	morphine sulfate 1 MG/ML
892478	morphine sulfate 1 MG/ML [Astramorph]
892488	morphine sulfate 1 MG/ML [Duramorph]
892489	10 ML morphine sulfate 1 MG/ML Injection [Duramorph]
892493	morphine sulfate 10 MG
892494	morphine sulfate 10 MG Extended Release Oral Capsule
892495	morphine sulfate 10 MG [Kadian]
892496	morphine sulfate 10 MG Extended Release Oral Capsule [Kadian]
892516	morphine sulfate 10 MG Rectal Suppository
892530	morphine sulfate 10 MG/ML
892532	morphine sulfate 10 MG/ML [Infumorph]
892554	morphine sulfate 100 MG Extended Release Oral Capsule
892555	morphine sulfate 100 MG [Kadian]
892556	morphine sulfate 100 MG Extended Release Oral Capsule [Kadian]
892559	morphine sulfate 100 MG [MS Contin]
892560	morphine sulfate 100 MG Extended Release Oral Tablet [MS Contin]
892573	morphine sulfate 15 MG [MS Contin]
892574	morphine sulfate 15 MG Extended Release Oral Tablet [MS Contin]
892582	morphine sulfate 15 MG Oral Tablet
892588	morphine sulfate 2 MG/ML
892589	morphine sulfate 2 MG/ML Oral Solution
892596	morphine sulfate 20 MG Extended Release Oral Capsule
892597	morphine sulfate 20 MG [Kadian]
892598	morphine sulfate 20 MG Extended Release Oral Capsule [Kadian]
892603	morphine sulfate 20 MG Rectal Suppository
892624	morphine sulfate 20 MG/ML
892625	morphine sulfate 20 MG/ML Oral Solution
892642	morphine sulfate 200 MG
