RXNORM	STR
261110	fentanyl 1.6 MG Oral Lozenge [Actiq]
261184	72 HR fentanyl 0.025 MG/HR Transdermal System [Duragesic]
261185	72 HR fentanyl 0.05 MG/HR Transdermal System [Duragesic]
261186	72 HR fentanyl 0.075 MG/HR Transdermal System [Duragesic]
262071	72 HR fentanyl 0.1 MG/HR Transdermal System [Duragesic]
262219	fentanyl 0.4 MG Oral Lozenge [Actiq]
282381	Demerol
309446	Aluminum Hydroxide 75 MG / ASA 325 MG / Codeine 15 MG / Magnesium Hydroxide 75 MG Oral Tablet
309450	ASA 325 MG / butalbital 50 MG / Caffeine 40 MG / Codeine 15 MG Oral Capsule
309469	acetaminophen 325 MG / butalbital 50 MG / caffeine 40 MG / codeine 30 MG Oral Tablet
309472	ASA 325 MG / butalbital 50 MG / Caffeine 40 MG / Codeine 30 MG Oral Tablet
309477	ASA 325 MG / butalbital 50 MG / Caffeine 40 MG / Codeine 7.5 MG Oral Capsule
309486	chlorpheniramine maleate 0.8 MG/ML / codeine polistirex 2 MG/ML Extended Release Suspension
310292	fentanyl (as fentanyl citrate) 100 MCG Oral Lozenge
310293	fentanyl 1.2 MG Oral Lozenge
310294	fentanyl 1.6 MG Oral Lozenge
310295	fentanyl 0.2 MG Oral Lozenge
310296	fentanyl (as fentanyl citrate) 300 MCG Oral Lozenge
310297	fentanyl 0.4 MG Oral Lozenge
311300	levorphanol 2 mg/mL injectable solution
312103	"belladonna extract, USP 15 MG / opium 30 MG Rectal Suppository"
312104	belladonna alkaloids 16.2 MG / opium 30 MG Rectal Suppository
312106	belladonna alkaloids 15 MG / opium 60 MG Rectal Suppository
312107	belladonna alkaloids 16.2 MG / opium 60 MG Rectal Suppository
312289	naloxone 0.5 MG / pentazocine 50 MG Oral Tablet
313927	chlorpheniramine maleate 0.4 MG/ML / codeine phosphate 2 MG/ML / phenylephrine hydrochloride
313992	fentanyl 0.6 MG Oral Lozenge
313993	fentanyl 0.8 MG Oral Lozenge
314905	acetaminophen 300 MG / codeine 45 MG Oral Tablet
314986	ASA 200 MG / butalbital 50 MG / Caffeine 40 MG / Codeine 30 MG Oral Tablet
315048	CODEINE 10MG/GG 100MG/P-EPHRINE 5MG/5ML LIQUID
316011	guaifenesin 20 MG/ML
316014	guaifenesin 40 MG/ML
316015	guaifenesin 400 MG
316409	opium 30 MG
317383	guaifenesin 15 MG/ML
317384	guaifenesin 200 MG
317385	guaifenesin 300 MG
317452	opium 60 MG
328183	fentanyl 0.025 MG/HR
328184	fentanyl 0.1 MG/HR
328186	fentanyl 0.05 MG/HR
328187	fentanyl 0.075 MG/HR
328264	fentanyl 0.05 MG/ML
328385	fentanyl 0.2 MG
328387	fentanyl 0.3 MG
328388	fentanyl 0.4 MG
328396	pentazocine 50 MG
328697	morphine 10 MG/ML
328781	morphine 15 MG/ML
329756	fentanyl 0.1 MG
330335	fentanyl 1.2 MG
330336	fentanyl 1.6 MG
330337	fentanyl 0.8 MG
330801	buprenorphine 0.3 MG/ML
330810	pentazocine 30 MG/ML
330860	fentanyl 0.6 MG
332698	buprenorphine 0.7 MG
333004	heroin 10 MG
333623	buprenorphine 0.4 MG
334968	guaifenesin 60 MG/ML
335407	guaifenesin 45 MG/ML
343216	naloxone 0.5 MG
347044	acetaminophen 325 MG / codeine 45 MG Oral Tablet
351264	buprenorphine 2 MG Sublingual Tablet
351265	buprenorphine 8 MG Sublingual Tablet
351266	buprenorphine 2 MG / naloxone 0.5 MG Sublingual Tablet
351267	buprenorphine 8 MG / naloxone 2 MG Sublingual Tablet
351415	oxycodone hydrochloride 20 MG/ML Oral Solution [Oxydose]
352362	acetaminophen / tramadol
352364	buprenorphine / naloxone
352990	Suboxone
353062	Ultracet
353390	buprenorphine 2 MG
353391	buprenorphine Topical Product
353392	naloxone 2 MG
358355	Dilaudid Cough
360444	fentanyl 0.004 MG/ML
361008	codeine / guaifenesin / pseudoephedrine Oral Solution [Guaifenesin DAC Liquid]
362697	methadone Injectable Solution [Dolophine]
362720	meperidine Injectable Solution [pethilorfan]
362743	morphine Injectable Solution [Duromorph]
363067	cyclizine / morphine Injectable Solution [Cyclimorph]
363118	tramadol Injectable Solution [Zydol]
363489	butorphanol Injectable Solution [Stadol]
363929	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Hydro-PC II]
363952	chlorpheniramine / hydrocodone / pseudoephedrine Oral Solution [Hydrotuss HC]
363953	guaifenesin / hydrocodone / pseudoephedrine Oral Solution [Hydro-Tuss XP]
363964	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Endotuss-HD]
363965	methadone Oral Solution [Methadose]
363971	guaifenesin / hydrocodone Oral Solution [Vicotuss]
363972	guaifenesin / hydrocodone Oral Solution [Vicodin Tuss]
363974	guaifenesin / hydrocodone Oral Solution [Vi Q Tuss]
363975	guaifenesin / hydrocodone Oral Solution [Propatuss Expectorant]
363977	guaifenesin / hydrocodone Oral Solution [Medcodin]
363978	guaifenesin / hydrocodone Oral Solution [M-Clear]
363979	guaifenesin / hydrocodone Oral Solution [Kwelcof]
363980	guaifenesin / hydrocodone Oral Solution [Hydrotuss]
363981	guaifenesin / hydrocodone Oral Solution [Hydrocod-GF]
363982	guaifenesin / hydrocodone Oral Solution [Hycotuss Expectorant]
363983	guaifenesin / hydrocodone Oral Solution [Hycosin Expectorant]
363984	guaifenesin / hydrocodone Oral Solution [Hycoclear]
363985	guaifenesin / hydrocodone Oral Solution [Hycoclar Tuss]
363986	guaifenesin / hydrocodone Oral Solution [Gua HC]
363987	guaifenesin / hydrocodone Oral Solution [G-Tuss]
363988	guaifenesin / hydrocodone Oral Solution [Fentuss Expectorant]
363989	guaifenesin / hydrocodone Oral Solution [Entuss]
363990	guaifenesin / hydrocodone Oral Solution [Codotuss]
363991	guaifenesin / hydrocodone Oral Solution [Codiclear DH]
363992	guaifenesin / hydrocodone Oral Solution [Co-Tussin]
363993	guaifenesin / hydrocodone Oral Solution [Co-Tuss V Expectorant]
363994	guaifenesin / hydrocodone Oral Solution [Cleartuss DH]
364024	codeine / guaifenesin / pseudoephedrine Oral Solution [Nucochem]
364028	codeine / guaifenesin / pseudoephedrine Oral Solution [Novahistine Expectorant]
364030	codeine / guaifenesin / pseudoephedrine Oral Solution [Novadyne Expectorant]
364031	codeine / guaifenesin / pseudoephedrine Oral Solution [Mytussin DAC]
364032	codeine / guaifenesin / pseudoephedrine Oral Solution [Medent C]
364034	codeine / guaifenesin / pseudoephedrine Oral Solution [Halotussin DAC]
364036	codeine / guaifenesin / pseudoephedrine Oral Solution [Guiatuss DAC]
364037	codeine / guaifenesin / pseudoephedrine Oral Solution [Guaifen DAC]
364038	codeine / guaifenesin / pseudoephedrine Oral Solution [Guaiatussin DAC]
364039	codeine / guaifenesin / pseudoephedrine Oral Solution [Gua PC]
364040	codeine / guaifenesin / pseudoephedrine Oral Solution [Dihistine]
364048	codeine / guaifenesin / pseudoephedrine Oral Solution [Cheratu
364050	codeine / guaifenesin / pseudoephedrine Oral Solution [Nucofed Expectorant]
364052	codeine / guaifenesin / pseudoephedrine Oral Solution [KG-Fed Expectorant]
364054	codeine / guaifenesin / pseudoephedrine Oral Solution [Cycofed Expectorant]
364055	codeine / guaifenesin / pseudoephedrine Oral Solution [Codafed]
364073	codeine / guaifenesin Oral Solution [Bron-Tuss]
364079	oxycodone Oral Solution [Roxicodone]
364080	oxycodone Oral Solution [Oxyfast]
364086	morphine Oral Solution [Roxanol]
364089	acetaminophen / codeine Oral Solution [Tylenol with Codeine]
364127	guaifenesin / hydrocodone Oral Solution [Cotuss-V]
364137	guaifenesin / hydrocodone / pseudoephedrine Oral Solution [SRC Expectorant]
364143	guaifenesin / hydrocodone / pseudoephedrine Oral Solution [Spantuss HD]
364144	guaifenesin / hydrocodone / pseudoephedrine Oral Solution [Poly Tussin XP]
364145	guaifenesin / hydrocodone / pseudoephedrine Oral Solution [Nalex Expectorant]
364146	guaifenesin / hydrocodone / pseudoephedrine Oral Solution [Medtuss HD]
364147	guaifenesin / hydrocodone / pseudoephedrine Oral Solution [Med-Hist Expectorant]
364148	guaifenesin / hydrocodone / pseudoephedrine Oral Solution [KG-Tuss HD]
364149	guaifenesin / hydrocodone / pseudoephedrine Oral Solution [Hytussin Expectorant]
364151	guaifenesin / hydrocodone / pseudoephedrine Oral Solution [Deconamine CX]
364384	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Atuss MS]
364396	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Hydron CP]
364407	guaifenesin / hydrocodone / pseudoephedrine Oral Solution [Hydrotussin HD]
364420	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Endal-HD]
364488	chlorpheniramine / hydrocodone / pseudoephedrine Oral Solution [Tussin V]
364489	chlorpheniramine / hydrocodone / pseudoephedrine Oral Solution [Tussend]
364490	chlorpheniramine / hydrocodone / pseudoephedrine Oral Solution [Q-V Tussin]
364491	chlorpheniramine / hydrocodone / pseudoephedrine Oral Solution [Pancof HC]
364492	chlorpheniramine / hydrocodone / pseudoephedrine Oral Solution [Notuss]
364494	chlorpheniramine / hydrocodone / pseudoephedrine Oral Solution [KG-Tussin]
364495	chlorpheniramine / hydrocodone / pseudoephedrine Oral Solution [Hyphed]
364497	chlorpheniramine / hydrocodone / pseudoephedrine Oral Solution [Hexatussin]
364498	chlorpheniramine / hydrocodone / pseudoephedrine Oral Solution [Amtussin]
364499	chlorpheniramine / hydrocodone / pseudoephedrine Oral Solution [A-G Tussin]
364500	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Tuss-DS]
364501	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Poly-Tussin]
364502	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [B-Tuss]
364503	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Maxi-Tuss HC]
364504	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Ed-Tuss HC]
364505	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Atuss HD]
364506	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Chlorgest HD]
364507	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Uni Tuss HC]
364508	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Tussive HC]
364509	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [TUSS HC]
364511	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Nasatuss]
364512	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Maxi-Tuss SA]
364516	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Hydrocodone CP]
364517	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Histussin-HC]
364520	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Hi-Tuss HC]
364521	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [H-C Tussive]
364522	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Exo-Tuss]
364523	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Enplus-HD]
364524	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [ENDAL HD PLUS]
364526	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Duradal HD Plus]
364527	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Ditussin-HC]
364528	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Cytuss HC]
364529	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Comtussin HC]
364530	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Chemtussin HC]
364532	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Vanex-HD]
364534	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Rindal-HD]
364535	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Quindal HD]
364536	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Med-Hist-HC]
364537	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [KG-Dal HD]
364538	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Iodal HD]
364539	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Hyphen-HD]
364540	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Hydrocodone HD]
364541	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Guiaphen HD]
364542	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Enditussin-HD]
364543	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Endagen-HD]
364544	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Efasin-HD]
364545	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Ed-TLC]
364546	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Duradal HD]
364547	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Cyndal HD]
364548	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Chlorphen HD]
364549	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [Chemdal HD]
364551	chlorpheniramine / hydrocodone Oral Solution [S-T Forte 2]
364552	chlorpheniramine / codeine / pseudoephedrine Oral Solution [Phenylhistine DH]
364555	chlorpheniramine / codeine / pseudoephedrine Oral Solution [Novahistine DH]
364556	chlorpheniramine / codeine / pseudoephedrine Oral Solution [Novadyne DH]
364557	chlorpheniramine / codeine / pseudoephedrine Oral Solution [Dihistine DH]
364558	chlorpheniramine / codeine / pseudoephedrine Oral Solution [Decohistine DH]
364559	chlorpheniramine / codeine / pseudoephedrine Oral Solution [Codehist DH]
364560	chlorpheniramine / codeine / pseudoephedrine Oral Solution [Co-Histine DH]
364571	guaifenesin / hydrocodone / pseudoephedrine Oral Solution [Pancof XP]
364595	codeine / guaifenesin / pseudoephedrine Oral Solution [Nucodine Expectorant]
364610	guaifenesin / hydrocodone / pseudoephedrine Oral Solution [Vanacon]
364708	acetaminophen / oxycodone Oral Solution [Roxicet]
364763	oxycodone Oral Solution [Oxydose]
364766	morphine Oral Solution [Rescudose]
364855	guaifenesin / hydrocodone / pseudoephedrine Oral Solution [Vanex Expectorant]
364856	guaifenesin / hydrocodone / pseudoephedrine Oral Solution [Tussend Expectorant]
364857	guaifenesin / hydrocodone / pseudoephedrine Oral Solution [Tussadur-HD]
364859	guaifenesin / hydrocodone / pseudoephedrine Oral Solution [Hydrotuss HD]
364860	guaifenesin / hydrocodone / pseudoephedrine Oral Solution [Entuss D]
364862	guaifenesin / hydrocodone / pseudoephedrine Oral Solution [Drituss HD]
364863	guaifenesin / hydrocodone / pseudoephedrine Oral Solution [Decotuss-HD]
364893	codeine / guaifenesin / pseudoephedrine Oral Solution [Phenylhistine Expectorant]
364905	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [De-Chlor HD]
364908	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [De-Chlor HC]
364914	codeine / guaifenesin Oral Solution [Diabetic Tussin C]
366218	morphine Oral Capsule [MSIR]
366243	meperidine / promethazine Oral Capsule [Meprozine]
366244	meperidine / promethazine Oral Capsule [Mepergan Fortis]
366382	aspirin / caffeine / dihydrocodeine Oral Capsule [Synalgos-DC]
366383	aspirin / butalbital / caffeine / codeine Oral Capsule [Fiortal with Codeine]
366384	aspirin / butalbital / caffeine / codeine Oral Capsule [Fiorinal with Codeine]
366422	acetaminophen / oxycodone Oral Capsule [Tylox]
366423	acetaminophen / oxycodone Oral Capsule [Roxilox]
366498	acetaminophen / butalbital / caffeine / codeine Oral Capsule [Phrenilin with Caffeine and Cod
366536	acetaminophen / butalbital / caffeine / codeine Oral Capsule [
366545	tramadol Oral Capsule [Zydol]
366587	acetaminophen / hydrocodone Oral Capsule [Hydrogesic]
366606	acetaminophen / hydrocodone Oral Capsule [Vendone]
366607	acetaminophen / hydrocodone Oral Capsule [Ugesic]
366608	acetaminophen / hydrocodone Oral Capsule [T-Gesic]
366610	acetaminophen / hydrocodone Oral Capsule [Polygesic]
366612	acetaminophen / hydrocodone Oral Capsule [Oncet]
366613	acetaminophen / hydrocodone Oral Capsule [Medipain 5]
366614	acetaminophen / hydrocodone Oral Capsule [Margesic-H]
366615	acetaminophen / hydrocodone Oral Capsule [Lorcet]
366616	acetaminophen / hydrocodone Oral Capsule [Hydrocet]
366617	acetaminophen / hydrocodone Oral Capsule [Hycomed]
366618	acetaminophen / hydrocodone Oral Capsule [Hyco-pap]
366619	acetaminophen / hydrocodone Oral Capsule [Dolagesic]
366620	acetaminophen / hydrocodone Oral Capsule [Dolacet]
366621	acetaminophen / hydrocodone Oral Capsule [Ceta Plus]
366622	acetaminophen / hydrocodone Oral Capsule [Bancap HC]
366623	acetaminophen / hydrocodone Oral Capsule [Anolor DH5]
366624	acetaminophen / hydrocodone Oral Capsule [Allay]
366726	codeine / pseudoephedrine Oral Capsule [Nucofed]
366919	morphine Extended Release Oral Capsule [Kadian]
367140	morphine Extended Release Oral Capsule [Avinza]
367214	fentanyl Oral Lozenge [Actiq]
367561	morphine Rectal Suppository [Roxanol]
367563	morphine Rectal Suppository [RMS]
367843	acetaminophen / hydrocodone Oral Tablet [Lorcet]
367869	acetaminophen / hydrocodone Oral Tablet [Panacet]
367870	acetaminophen / hydrocodone Oral Tablet [Hy-Phen]
367871	acetaminophen / hydrocodone Oral Tablet [DuoCet]
367872	acetaminophen / hydrocodone Oral Tablet [Co-Gesic]
367971	morphine Oral Tablet [MSIR]
368030	acetaminophen / codeine Oral Tablet [Margesic #3]
368031	acetaminophen / codeine Oral Tablet [EZ III]
368082	acetaminophen / hydrocodone Oral Tablet [Vanacet]
368148	acetaminophen / hydrocodone Oral Tablet [Maxidone]
368158	oxycodone Oral Tablet [Roxicodone]
368308	hydrocodone / ibuprofen Oral Tablet [Vicoprofen]
368362	acetaminophen / hydrocodone Oral Tablet [Lortab]
368584	aspirin / oxycodone Oral Tablet [Roxiprin]
368603	aspirin / oxycodone Oral Tablet [Percodan]
368604	aspirin / oxycodone Oral Tablet [Endodan]
368760	oxycodone Oral Tablet [Percolone]
368761	oxycodone Oral Tablet [M-Oxy]
368791	naltrexone Oral Tablet [ReVia]
